,Title,Auction Type,Artist Name #1,Artist Name #2,Instagram Page,Instagram Page 2,Instagram Followers,Instagram Followers 2,Avg Likes,Avg Likes2,Spotify Monthly Listeners #1,Spotify Page #2,Spotify Monthly Listeners #2,SoundCloud Page,SoundCloud Followers,SoundCloud Page #2,SoundCloud Followers #2,YouTube Page,YouTube Subscribers,YouTube Total Views,Price,12 Month Royalties,,
0,[ADVANCE] Fixed-Return Hip-Hop/Pop Publishing,Music,Jake Paul,Logan Paul,jakepaul,loganpaul,16304446,20479351,849461,1428669,,,,Jake Paul,6902,Logan Paul,25327,https://www.youtube.com/channel/UCG8rbF3g2AMX70yOd8vqIZg,,5805859004,26000,13120,,
1,Afro Jazz/Soul Featuring Zamajobe,Music,Zamajobe,,,,,,nan,nan,,,,Zamajobe,61,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,22400,3922,,
2,TV Residuals: “X-Files” “Supernatural” “Star Trek” & More,Movie,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,506500,68751,,
3,[NFT] Lil Dicky’s “Save Dat Money” — Publishing Royalties,Music,Lil Dicky,,lildickygram,,3085603,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,23209,2634,,
4,Music Featured in Disney’s “Violetta”,NFT,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,64150,7311,,
5,[Advance] Fixed Return YouTube Earnings — CJ So Cool,Music,CJ So Cool,,cj_socool,,4866165,,151085,nan,,,,CJ So Cool,28993,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,850000,490126,,
6,[ADVANCE] Fixed Return Hip-Hop + R&B,Income Contracts,John Gabbana,Kiya Juliet,sirgabbana,kiyajuliet,933078,160956,132760,2776,,,,John Gabbana,248,Kiya Juliet,11997,https://www.youtube.com/channel/UCbxzbZ8yOdQpp_UcHwuVaNQ,,4697394,96500,74280,,
7,Swedish Hip-Hop From Yasin + Others,Music,Yasin,Nineb Youk,,ninebyouk,,21735,nan,2295,,,,Yasin,582,Nineb Youk,81,https://www.youtube.com/channel/UC2huB3m_bTw3l9dk6cZsgvw,,2865888,32000,5112,,
8,YoungBoy Never Broke Again — Producer Royalties,Music,YoungBoy Never Broke Again.,,,,,,nan,nan,,,,YoungBoy Never Broke Again.,1491356,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,27000,14848,,
9,Lil Dicky Publishing: “White Crime”,Music,Lil Dicky,,lildickygram,,3085603,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,3000,418,,
10,Publishing: “Bruh” From Lil Dicky,Music,Lil Dicky,,lildickygram,,3085603,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,2560,397,,
11,Lil Dicky Publishing: “Pillow Talking”,Music,Lil Dicky,,lildickygram,,3085603,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,5000,927,,
12,[ADVANCE] Fixed-Return Brazilian Funk/Pop,Music,Bonde R300,,bonder300oficial,,32893,,186,nan,,,,Bonde R300,1298,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,32500,31718,,
13,British Hip-Hop Producer Royalties,Music,Professor Green,Emeli Sandé,professorgreen,emelisande,878815,405712,6474,2912,,,,Professor Green,21653,Emeli Sandé,1974836,https://www.youtube.com/user/emelisande,,437384348,16075,1475,,
14,Award-Winning Electronic/Dance Catalog,Music,Hardwell,Joey Dale,hardwell,joeydalemusic,4862903,46685,33536,939,,,,Hardwell,1918332,Joey Dale,25608,https://www.youtube.com/user/joeydalemusic,,81595,25500,5620,,
15,Publishing From Long-Standing Popular Christian Music,Music,John Chisum,,,,,,nan,nan,,,,John Chisum,11,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,25500,2828,,
16,Publishing Royalties: Lil Dicky’s “Lemme Freak”,Music,Lil Dicky,,lildickygram,,3085602,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,7200,1541,,
17,Lil Dicky’s “Molly” — Publishing Royalties,Music,Lil Dicky,,lildickygram,,3085602,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,19850,2812,,
18,Lil Dicky’s “Classic Male Pregame” — Publishing Royalties,Music,Lil Dicky,,lildickygram,,3085603,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,3125,206,,
19,Publishing Royalties: Lil Dicky’s “Professional Rapper”,Music,Lil Dicky,,lildickygram,,3085603,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,12100,1861,,
20,Publishing Royalties: Lil Dicky’s “Who Knew”,Music,Lil Dicky,,lildickygram,,3085603,,97009,nan,,,,Lil Dicky,350377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,2215,200,,
21,Tinie Tempah: Songwriter & Publishing Royalties,Music,Tinie Tempah,,tiniegram,,765706,,6308,nan,,,,Tinie Tempah,61566,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,164800,18137,,
22,Film Proceeds: 2009’s “The Final Destination”,Movie,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,268600,42966,,
23,[ADVANCE] Fixed-Return Hip-Hop From Money Mu,Music,Money Mu,,stillpaidmu,,61321,,1429,nan,,,,Money Mu,1087,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,444000,18004,,
24,Streaming-Driven European Hip-Hop,Music,Adel,Macky,adele,,39299882,,2983195,nan,,,,Adel,112150,Macky,402455,https://www.youtube.com/channel/UC364e6XUw3TT1qwZknl6gkA,,9883,90100,17660,,
25,Tinie Tempah & More: Songwriter & Publishing Royalties,Music,Tinie Tempah,,tiniegram,,765706,,6308,nan,,,,Tinie Tempah,61566,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,180750,12921,,
26,Listerine Mouthwash — Sales Royalties,Product,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,254550,15791,,
27,“Guatemala” From Swae Lee — Publishing Royalties,Income Contracts,Swae Lee,,swaelee,,9387705,,146931,nan,,,,Swae Lee,52280,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,56000,17448,,
28,RIAA Platinum “Valuable Pain” — Producer Royalties,Music,YoungBoy Never Broke Again.,,,,,,nan,nan,,,,YoungBoy Never Broke Again.,1491357,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,79950,7763,,
29,EDM and Electropop Songwriter Royalties,Music,ATB,Sham Rock,atbfinancial,,12360,,174,nan,,,,ATB,22686,Sham Rock,456,https://www.youtube.com/channel/UC7l7I2FA4rujzPYJzLlL0Ew,,103642,42300,156393,,
30,Publishing Royalties: Contemporary Christian + Worship,Music,Big Daddy Weave,Bethel Music,bdwmusic,bethelmusic,165627,1702474,719,8389,,,,Big Daddy Weave,6,Bethel Music,43052,https://www.youtube.com/user/ibethelmusic,,1720395985,900000,21221,,
31,Christian Rock Songwriter Royalties,Music,Sanctus Real,,sanctusreal,,70620,,387,nan,,,,Sanctus Real,1642,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,57000,21221,,
32,Christian Rock From Sanctus Real,Music,Sanctus Real,,sanctusreal,,70620,,387,nan,,,,Sanctus Real,1642,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,69000,5153,,
33,Meek Mill & Rick Ross — Publishing Royalties,Music,Meek Mill,Rick Ross,meekmill,richbyrickross,21522923,182993,172060,256,,,,Meek Mill,510546,Rick Ross,164022,https://www.youtube.com/channel/UCHO1BdBZw927UtUGhxYOGwA,,1606954586,41000,12302,,
34,Cherry Garcia Ice Cream: Trademark Royalties,Product,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,100000,6256,,
35,Producer Royalties — Christian Rock Catalog,Music,Tenth Avenue North,Building 429,tenthavenuenorth,building429official,242233,165381,2085,432,,,,Tenth Avenue North,7512,Building 429,3359,https://www.youtube.com/user/B429,,21675864,50100,48036,,
36,Contemporary Christian — Songwriter Royalties,Music,Micah Tyler,Michael W. Smith,micahtylermusic,mwsmithofficial,47395,308751,1199,6250,,,,Micah Tyler,529,Michael W. Smith,11859,https://www.youtube.com/user/michaelwsmithTV,,160585465,136000,14978,,
37,Publishing: 18-Year-Old Christian Hip-Hop,Music,GRITS,TobyMac,,tobymac,,1175627,nan,14688,,,,GRITS,322,TobyMac,9129,https://www.youtube.com/user/tobyMacmusic,,575786146,70400,5069,,
38,Contemporary Christian — Producer Royalties,Music,Jason Gray,Sixteen Cities,jasongraymusic,sixteencities,39494,22,637,2,,,,Jason Gray,689,Sixteen Cities,19,https://www.youtube.com/user/sixteencities,,420086,41500,16214,,
39,Publishing: Future Kevin Gates & Trey Songz,Music,Kevin Gates,Trey Songz,iamkevingates,treysongz,8910479,12762445,67416,135360,,,,Kevin Gates,743032,Trey Songz,139134,https://www.youtube.com/user/TreySongzVideos,,2438451880,103400,1281,,
40,Performance Royalties: Gospel R&B & Global Pop,Music,Tamela Mann,Trey Songz,tamelamanncollection,treysongz,93227,12762445,1766,135360,,,,Tamela Mann,6386,Trey Songz,139134,https://www.youtube.com/user/TreySongzVideos,,2438451880,8800,5279,,
41,Publishing Royalties: 16-Year-Old Hip-Hop,Music,YoungbloodZ,Lil Jon,youngbloodzatl,,6509,,61,nan,,,,YoungbloodZ,701,Lil Jon,129899,https://www.youtube.com/user/LILJIZZEL,,365874716,47000,3210,,
42,Film Residuals: “Star Trek” & More,Movie,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,61200,30998,,
43,Songwriter & Publishing Royalties: Tinie Tempah & Others,Video,Tinie Tempah,Tinchy Stryder,tiniegram,tinchystryder,765707,104841,6308,613,,,,Tinie Tempah,61566,Tinchy Stryder,2650,https://www.youtube.com/user/tinchystrydertv,,91735001,249000,15357,,
44,"""Juju On That Beat"" — Artist Royalties",Music,Zay Hilfigerr,Zayion McCall,zayhilfigerfanpage,,18,,nan,nan,,,,Zay Hilfigerr,8,Zayion McCall,2733,https://www.youtube.com/channel/UCFzQRdXhn_KulsvRGImAJfQ,,46277380,86750,22676,,
45,Hip-Hop Publishing: Trippie Redd PnB Rock & More,Music,Trippie Redd,PnB Rock,trippieredd,pnbrock,12394235,2340927,857266,47630,,,,Trippie Redd,1554218,PnB Rock,601527,https://www.youtube.com/channel/UC52OnlZcHd_ajoTiqcskrvg,,835040659,97000,18948,,
46,Trademark Royalties: Cherry Garcia Ice Cream,Product,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,166900,54365,,
47,Publishing From Joyner Lucas & More,Music,Joyner Lucas,Token,joynerlucas,,2679805,,157407,nan,,,,Joyner Lucas,216730,Token,68832,https://www.youtube.com/user/tokenhiphop,,184254376,172500,32860,,
48,YoungBoy Never Broke Again — Publishing Royalties,Music,YoungBoy Never Broke Again.,,,,,,nan,nan,,,,YoungBoy Never Broke Again.,1491357,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,72500,5153,,
49,2X Platinum “Juju On That Beat”,Music,Zay Hilfigerr,Zayion McCall,zayhilfigerfanpage,,18,,nan,nan,,,,Zay Hilfigerr,8,Zayion McCall,2733,https://www.youtube.com/channel/UCFzQRdXhn_KulsvRGImAJfQ,,46277380,45250,20461,,
50,Joyner Lucas & More — Performance Royalties,Music,Joyner Lucas,Token,joynerlucas,,2679805,,157407,nan,,,,Joyner Lucas,216730,Token,68832,https://www.youtube.com/user/tokenhiphop,,184254376,88000,12409,,
51,Songwriter Royalties: YoungBoy Never Broke Again,Music,YoungBoy Never Broke Again.,,,,,,nan,nan,,,,YoungBoy Never Broke Again.,1491359,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,45600,9614,,
