notes,accuracy,decible
C,99.08256880733946,69.79354583327397
B,97.99157758341431,76.88457162603255
C#,99.2349884526559,70.73621731983083
E,97.69417475728154,69.96896806347999
G,98.9795918367347,69.09079969929637
B,97.99157758341431,75.60490567730704
A#,99.62251201098147,70.82409381366517
E,97.99757281553397,67.33965951955702
B,97.99157758341431,74.70878406502963
B,99.57887917071591,67.58611035501164
B,97.99157758341431,74.27484956818165
B,97.99157758341431,73.918385056628
A,97.27272727272728,69.19387952955941
B,99.57887917071591,73.67354597637384
A#,99.62251201098147,67.27599890958219
B,97.99157758341431,77.94374153160307
A#,99.51956074124914,71.22441357867888
C#,99.5958429561201,75.78879369134359
C#,99.2349884526559,70.30952882764753
B,97.99157758341431,75.38459163473188
C,99.08256880733946,71.09220570452328
C#,99.5958429561201,76.38297885614269
D,97.41144414168936,74.7135745181181
B,97.99157758341431,75.670925645407
B,99.57887917071591,75.14792057586048
B,97.99157758341431,67.02819503850878
D,97.41144414168936,77.1333696722307
B,97.99157758341431,72.56369016146826
B,97.99157758341431,74.96841244935138
D,97.82016348773843,70.08125765357383
